label,co2(ppm),methane(ppb),nitrous_oxide(ppvb),primary_energy_consumption (trillion BTUs),population
0,38.3,88,17,4.973,591014
0,36.9,83,17,5.49,603643
0,40.1,83,17,6.073,616025
0,36,83,17,6.764,627840
0,29.1,84,18,6.51,638809
0,37.8,91,19,7.376,648744
0,37.4,91,19,11.948,657404
0,37.3,95,22,14.93,664873
0,40.1,86,18,15.43,671611
0,36.9,90,19,16.001,678329
0,46.5,93,21,17.134,685502
0,66.7,91,19,16.672,693297
0,77.3,94,22,16.199,701582
0,85.3,92,19,17.944,710235
0,94.8,90,20,17.18,719053
0,96.5,89,20,17.992,727885
0,115.6,88,19,18.515,736706
0,123.9,87,19,18.396,745563
0,143.6,86,19,17.636,754396
1,572.7,1553,745,27.038,6864839
1,597.2,1610,758,26.605,7011456
1,662.1,1677,769,28.728,7160917
1,779.2,1740,782,28.343,7312857
1,859.4,1809,798,31.658,7466792
1,980,1826,811,36.279,7622334
0,1008.6,2005,719,35.537,7779268
0,1125.6,2061,751,39.856,7937453
0,1124.6,2095,784,36.969,8096761
0,1072.2,2535,954,41.528,8257066
1,864.1,1863,682,43.588,8418270
1,829.2,1740,706,37.301,8580244
1,838.4,2043,960,40.686,8742822
1,998.5,1909,762,54.696,8905820
0,1018.5,2501,1351,56.725,9069044
0,1117.6,2293,1076,55.573,9232301
0,1154.8,2338,1102,61.17,9395449
0,1266.3,2536,1292,65.725,9558438
0,1355.4,2265,973,67.461,9721457
0,1422.9,2200,849,66.488,9884790
0,1542.6,3164,1893,67.463,10048597
0,1699.2,2455,1046,69.828,10212951
0,1777.9,2459,998,82.769,10377677
0,1909.4,2423,908,83.881,10542375
0,2071.7,2377,842,84.609,10706517
0,2127.8,2528,977,88.928,10869732
0,2279.5,2636,1071,92.096,11031822
0,2356.2,2566,970,90.779,11192853
0,2385.6,2599,979,93.705,11353140
0,1502.9,326,84,43.597,4233673
0,1258.1,246,75,31.492,4078940
1,320.5,246,66,33.129,3936527
1,340.2,224,56,54.931,3829049
1,424,251,50,34.169,3764419
1,836.6,296,61,48.741,3736070
0,1055.1,330,80,57.563,3734338
0,1033.3,344,85,58.392,3743353
0,1370.2,366,91,64.674,3751176
0,1326.3,358,84,64.34,3755514
0,1417.3,296,82,64.667,3759389
0,1435.8,319,79,56.421,3762179
